"Chennai? 4,470.00? 3,657.00? 4,694.00"
"Bangalore? 4,565.00? 3,735.00? 4,793.00"
"Mumbai? 4,548.00? 3,721.00? 4,775.00"
"Delhi? 4,589.00? 3,755.00? 4,818.00"
"Hyderabad? 4,470.00? 3,657.00? 4,694.00"
"Kolkata? 4,605.00? 3,768.00? 4,835.00"
